Date,Number of cases,,,
8-Sep-14,22,,,
9-Sep-14,28,,,
10-Sep-14,32,,,
11-Sep-14,30,,,
12-Sep-14,17,,,
13-Sep-14,6,,,
14-Sep-14,6,,,
15-Sep-14,26,,,
16-Sep-14,21,,,
17-Sep-14,27,,,
18-Sep-14,30,,,
19-Sep-14,29,,,
20-Sep-14,6,,,
21-Sep-14,3,,,
22-Sep-14,27,,,
23-Sep-14,19,,,
24-Sep-14,25,,,
25-Sep-14,25,,,
26-Sep-14,23,,,
27-Sep-14,2,,,
28-Sep-14,5,,,
29-Sep-14,22,,,
30-Sep-14,25,,,
1-Oct-14,30,,,
2-Oct-14,31,,,
3-Oct-14,25,,,
4-Oct-14,3,,,
5-Oct-14,14,,,
6-Oct-14,19,,,
7-Oct-14,27,,,
8-Oct-14,26,,,
9-Oct-14,14,,,
10-Oct-14,3,,,
11-Oct-14,3,,,
12-Oct-14,26,,,
13-Oct-14,21,,,
14-Oct-14,18,,,
15-Oct-14,22,,,
16-Oct-14,25,,,
17-Oct-14,6,,,
18-Oct-14,1,,,
19-Oct-14,29,,,
20-Oct-14,30,,,
21-Oct-14,26,,,
22-Oct-14,24,,,
23-Oct-14,25,,,
24-Oct-14,3,,,
25-Oct-14,3,,,
26-Oct-14,26,,,
27-Oct-14,24,,,
28-Oct-14,33,,,
29-Oct-14,27,,,
30-Oct-14,24,,,
31-Oct-14,1,,,
1-Nov-14,3,,,
2-Nov-14,21,,,
3-Nov-14,25,,,
4-Nov-14,20,,,
5-Nov-14,26,,,
6-Nov-14,21,,,
7-Nov-14,5,,,
8-Nov-14,7,,,
9-Nov-14,36,,,
10-Nov-14,23,,,
11-Nov-14,28,,,
12-Nov-14,27,,,
13-Nov-14,27,,,
14-Nov-14,6,,,
15-Nov-14,2,,,
16-Nov-14,25,,,
17-Nov-14,22,,,
18-Nov-14,29,,,
19-Nov-14,32,,,
20-Nov-14,21,,,
21-Nov-14,3,,,
22-Nov-14,2,,,
